Target Vertex Index,Source Vertex Index,Best Sigma Coarse,Best Sigma Finer,Best Variance Explained Coarse,Best Variance Explained Finer,Source Eccentricity,Source Polar Angle
118555,1006,0.4765306122448979,0.4426522640306122,0.8074280571825672,0.8077494203370658,5.842597026885918,-1.9604248453197979
448,1006,0.05,0.05,0.8365646881478779,0.8365646881478779,5.842597026885918,-1.9604248453197979
447,3156,0.05,0.05,0.7914535377372257,0.7914535377372257,6.095143236405658,-2.7845736293009784
330,643,0.6897959183673469,0.6860235969387755,0.7235174772827144,0.7235230022920514,3.8486396403136087,-2.0073205041861835
337,108,0.05,0.05,0.6664302423902506,0.6664302423902506,1.3375502431013055,-2.171633038573726
338,506,0.903061224489796,0.8089629504145408,0.7759774571696428,0.7777402037005244,4.16113065842331,-1.9194722818455277
166,373,1.1163265306122447,1.1145277622767855,0.7783944448625171,0.7783951894093935,4.550045716802594,-1.7530408538168718
167,3581,0.903061224489796,0.8705192721619899,0.6567621679527487,0.6570323425906799,6.091193347556727,-2.9625818357671743
336,643,0.2632653061224489,0.3825059789540813,0.6537405155493083,0.6558763831907146,3.8486396403136087,-2.0073205041861835
173,88,0.05,0.05,0.6211779973235736,0.6211779973235736,2.2025441523116314,-2.0306589805033832
174,104,0.05,0.05,0.6812370272405424,0.6812370272405424,1.3623013786901523,-2.124353809192702
586,3595,0.903061224489796,0.8688436702806122,0.780962715037879,0.7813296280350635,5.580357976606194,-2.8617279134323095
452,1259,0.05,0.05,0.7993170606423219,0.7993170606423219,5.802323553267049,-1.9818781566325905
590,3582,0.903061224489796,0.8236906090561225,0.6555008473101002,0.6581247758545583,5.939267659571597,-3.020421221499611
453,1259,0.05,0.05,0.89189027796342,0.89189027796342,5.802323553267049,-1.9818781566325905
329,1260,0.2632653061224489,0.369445551658163,0.8799491129182672,0.8800757878689329,5.335223646882636,-1.9764759728854109
456,625,0.903061224489796,0.8375363719706632,0.7834646523942648,0.7853035031538811,5.031950943562525,-1.8769023036909815
116022,486,0.2632653061224489,0.3230141900510203,0.8193267718251255,0.8193727082161896,4.800867914301485,-1.8773797352157322
588,116423,0.4765306122448979,0.5235321667729592,0.8171423012439856,0.8178063190700886,5.0843846742154,-1.8943684662225537
457,644,0.903061224489796,0.884894172512755,0.7453614328565975,0.7454110617164758,3.7184069266009026,-2.006738218851999
458,497,0.4765306122448979,0.4782989875637754,0.7264209002078119,0.7264223893019712,3.8975905783885474,-2.106076787926229
459,379,0.4765306122448979,0.4682471699617346,0.8006820531824741,0.8006947431719607,3.9467397645446876,-2.0072294727460105
334,785,0.4765306122448979,0.5147833625637755,0.9135163523039488,0.9137214177143548,5.718859575262301,-1.9424532285291283
339,1266,0.05,0.05,0.923941523895335,0.923941523895335,5.831638311661205,-1.9762842391174853
455,1019,0.6897959183673469,0.6629854910714286,0.7714917575578084,0.7718054643939976,4.7740340664769265,-1.927379653567353
335,807,0.6897959183673469,0.7746057876275512,0.7272367785086242,0.7289298534228317,3.1291278837840997,-2.157639905345067
