Target Vertex Index,Source Vertex Index,Best Sigma Coarse,Best Sigma Finer,Best Variance Explained Coarse,Best Variance Explained Finer
7967,5504,1.1163265306122447,1.1704531050701528,0.8633483601381529,0.8646111387113176
7321,4500,0.9030612244897959,0.9042958785076531,0.8054446502602517,0.8054476830972674
6702,4500,0.9030612244897959,0.9173479352678571,0.8294884337163024,0.8298625872074192
7966,4988,0.9030612244897959,0.9289889588647957,0.7971183892917283,0.798115580351825
7322,4988,0.9030612244897959,0.9211400868941326,0.7954711792711059,0.7959623188951519
7311,4500,0.9030612244897959,0.9170833665497449,0.8190912212621728,0.8194531364371317
6695,4501,1.1163265306122447,1.1249388153698978,0.866796489943843,0.8668817573369678
6686,4988,1.1163265306122447,1.1056429368622447,0.8784461728718513,0.8785349344858469
6685,4988,1.1163265306122447,1.0992654854910713,0.896409171399963,0.8966400178446756
7312,5504,0.9030612244897959,0.9305763711734693,0.8001642951546873,0.8005851033445668
101179,4492,1.1163265306122447,1.1016093351403058,0.7983241948774202,0.7985730533873147
6784,7271,1.5428571428571427,1.591674107142857,0.8485018939830454,0.8487541541145724
6783,7271,1.5428571428571427,1.5425558035714284,0.8566752190039242,0.856675232012408
6782,5555,1.3295918367346937,1.3155687978316326,0.9064585440250388,0.9064851389515561
6781,5012,1.1163265306122447,1.1679457310267853,0.9104512737592549,0.9107768639624597
6763,5536,1.1163265306122447,1.1357859335140306,0.9224681047958698,0.9225491960418583
6780,100343,1.3295918367346937,1.3540023118622446,0.9302322909934518,0.930315538775088
6745,5524,1.1163265306122447,1.0801331313775508,0.8999266565137867,0.9003440010306146
6181,5524,1.3295918367346937,1.2369488899075252,0.9268335237073396,0.9281120180794633
6180,4974,1.1163265306122447,1.1457064134247448,0.8994140493930164,0.8996870672404673
6762,5513,1.1163265306122447,1.0904896763392855,0.8937818205504482,0.8940009120306706
6168,4975,1.1163265306122447,1.0859109933035713,0.8722930122948676,0.8726612040889494
6744,4974,1.1163265306122447,1.0678142936862245,0.8797128432195171,0.8806628434894594
6743,3175,0.4765306122448979,0.4331588807397959,0.8281400632964779,0.828543377583048
6167,3159,0.4765306122448979,0.5468933354591838,0.7536986630727801,0.7676378507706689
117937,3159,0.4765306122448979,0.5656939572704083,0.7633733305037148,0.7844131093519844
6157,3605,0.9030612244897959,0.8633759167729591,0.7745133623466868,0.7806803808066572
6742,3159,0.4765306122448979,0.5230668048469388,0.7582645377782624,0.7654271076091042
6144,3605,1.1163265306122447,1.0680323262117346,0.8673310458244143,0.8698955975793223
5630,120698,0.9030612244897959,0.9379842952806122,0.8390598152433886,0.8428188338544815
6143,4500,1.1163265306122447,1.1494129663584185,0.8742159641704923,0.8749165993521479
6140,4988,1.1163265306122447,1.119924067283163,0.8694138048920894,0.8694229124970367
6139,4501,1.1163265306122447,1.1018818757971935,0.8642774887165527,0.8645380787682307
6132,4988,1.1163265306122447,1.0633991350446428,0.8817965204162628,0.8842397907138848
6123,4988,1.1163265306122447,1.1714887595663264,0.9101668672112753,0.9121526354015828
6125,6627,1.5428571428571427,1.4579547991071427,0.8978762181508972,0.8998368668997311
6124,4978,1.3295918367346937,1.3520546675701528,0.9142649828976976,0.9144542399301681
6687,6627,1.3295918367346937,1.3177761280293367,0.8724301434145476,0.8724835276636463
6183,110061,5.8081632653061215,5.877574786750637,0.764579129511058,0.7645832369532775
6197,7260,2.182653061224489,2.2208068598533157,0.8632611922114406,0.8633386778388066
103604,5513,1.3295918367346937,1.3863981285873723,0.9366021010788619,0.9370324226046222
6195,4975,1.1163265306122447,1.1802100605867345,0.8994896492782072,0.9008260715950287
6179,3159,0.6897959183673469,0.5889536830357143,0.7927176917676482,0.8036200061630917
6178,3159,0.4765306122448979,0.43650948660714284,0.6521357918020916,0.6591029039861697
6194,3159,0.6897959183673469,0.5743359374999997,0.7697515988701783,0.7842649120299796
6193,118578,2.609183673469387,2.6173373724489792,0.5826548081312106,0.5826570153454146
6761,3159,0.4765306122448979,0.5157140864158163,0.7519570584598296,0.7570837902372003
123251,22,2.609183673469387,2.5507063636001277,0.5636898575831599,0.5638303561297406
6177,16,2.609183673469387,2.6746680683992343,0.6052296212581681,0.605329939861867
6191,22,2.395918367346938,2.3941635443239786,0.5206951844789673,0.5206953856564108
6760,3159,0.4765306122448979,0.4917944834183673,0.7332442739549592,0.7341039423710936
6192,106403,2.395918367346938,2.326368881536989,0.46591559879434574,0.46633622921812634
109967,4032,0.9030612244897959,0.8791618502869898,0.6259604244804602,0.6284215911834784
6158,4041,0.9030612244897959,0.916289660395408,0.7391892248427474,0.7400575615918017
5640,120698,0.9030612244897959,0.8897445990114796,0.7724848644671238,0.7732165154057229
5649,4041,0.9030612244897959,0.9169069874043367,0.6869228161065135,0.687932721287989
5617,4069,0.05,0.05,0.8927308348705022,0.8927308348705022
5618,4069,0.05,0.05,0.9058704110428455,0.9058704110428455
120676,4041,1.1163265306122447,1.1195425103635201,0.8689624352736998,0.8689760907299737
113845,4032,1.1163265306122447,1.1430355149872449,0.895301984221911,0.896062463932851
5587,4500,1.1163265306122447,1.0979027822066325,0.9100489411438784,0.9103227595538006
6126,5024,0.05,0.05,0.9338006357124181,0.9338006357124181
5590,5024,0.05,0.05,0.9541728549525864,0.9541728549525864
106115,6627,1.5428571428571427,1.5838392857142858,0.9071362169064963,0.9075238375173362
5588,4988,1.3295918367346937,1.2474661690848214,0.9188234802918918,0.9212969647285266
102727,6627,1.5428571428571427,1.6093024553571427,0.9118734349517932,0.9128893308958804
5104,4041,0.9030612244897959,0.8958296795280611,0.6364710425018346,0.636758746122825
119764,4033,0.9030612244897959,0.9282834422831632,0.576559796652121,0.5800070384368541
109742,4034,1.1163265306122447,1.1153998923788264,0.8359564110573836,0.8359580220708217
5089,4503,1.1163265306122447,1.0886909080038263,0.7694194001262126,0.7710608645320148
5619,5001,1.3295918367346937,1.3140106823979592,0.8769313835689048,0.877086812706309
5079,5559,1.3295918367346937,1.35432691924426,0.9168887175411864,0.9171484128831178
5080,5547,1.3295918367346937,1.3039478535554847,0.8778961823462329,0.8782717129326058
120651,4069,0.05,0.05,0.9174337406650563,0.9174337406650563
5069,4069,0.05,0.05,0.9400135983277119,0.9400135983277119
5607,4069,0.05,0.05,0.9143379597463395,0.9143379597463395
5068,4069,0.05,0.05,0.9418620299234534,0.9418620299234534
5594,6073,1.5428571428571427,1.5448911830357144,0.9153665929860773,0.9153676730397045
5051,4069,0.05,0.05,0.9410238124628381,0.9410238124628381
112845,4069,0.05,0.05,0.9196715502122659,0.9196715502122659
5574,108782,0.05,0.05,0.9826370573105895,0.9826370573105895
5573,5024,0.05,0.05,0.9670179254086166,0.9670179254086166
6111,108782,0.05,0.05,0.9619355417474688,0.9619355417474688
5589,4537,0.05,0.05,0.9307678772086584,0.9307678772086584
5042,4537,0.05,0.05,0.9630050839419667,0.9630050839419667
5041,4069,0.26326530612244897,0.2879978475765306,0.9406746366863072,0.940691773439768
100198,108782,0.05,0.05,0.9791186246594563,0.9791186246594563
5023,4537,0.05,0.05,0.9907135618324973,0.9907135618324973
122894,4041,0.9030612244897959,0.8803083147321429,0.6072345934412804,0.6100581211085254
5119,2464,0.26326530612244897,0.39469228316326493,0.5211712326299828,0.5239588872803789
4598,102295,1.1163265306122447,1.149085917570153,0.8323908969595397,0.8338285054943092
4590,108782,1.3295918367346937,1.2993384287308674,0.9140900238538446,0.9144400235259044
4589,4069,0.4765306122448979,0.4897468909438775,0.9427220386474277,0.9427953676800935
107376,4069,0.26326530612244897,0.36039580676020383,0.9574753602349524,0.9578140877637495
4582,4069,0.26326530612244897,0.2807477678571428,0.9562317112158604,0.9562359571207327
4551,4069,0.26326530612244897,0.3649206792091834,0.9546044302144282,0.9550988037223003
4536,4069,0.26326530612244897,0.30553172831632647,0.9923748567427011,0.9924199152285531
4552,4069,0.26326530612244897,0.34322185905612224,0.974609894575967,0.9748565297119358
99021,3279,0.05,0.05,0.8820311661164227,0.8820311661164227
4609,4034,0.9030612244897959,0.9186707788584183,0.526958298699173,0.5282351704458976
111793,3279,0.26326530612244897,0.35206592793367325,0.905077555273967,0.9058841449318321
4117,102154,0.05,0.05,0.9363440056842316,0.9363440056842316
4104,102154,0.05,0.05,0.9530090292244193,0.9530090292244193
4583,4069,0.4765306122448979,0.4742038026147959,0.963278176614434,0.9632806187419957
4566,4069,0.4765306122448979,0.42617845184948977,0.9755355607691809,0.9765866531720266
4091,4079,0.26326530612244897,0.3672345344387753,0.9756172291471468,0.9765478036286988
4078,4069,0.26326530612244897,0.40117107780612205,0.9883688479741555,0.9895963247548317
113390,102154,0.05,0.05,0.9681582671100033,0.9681582671100033
4123,102154,0.05,0.05,0.9418655616927635,0.9418655616927635
3661,3639,0.05,0.05,0.9806119412821688,0.9806119412821688
3662,3251,0.05,0.05,0.9878683708350614,0.9878683708350614
3649,4079,0.4765306122448979,0.4376263552295918,0.9866001020656208,0.9870377244126145
116332,102154,0.05,0.05,0.9899463787553848,0.9899463787553848
3678,102154,0.05,0.05,0.9744493808553788,0.9744493808553788
105585,3279,0.05,0.05,0.9286116295829785,0.9286116295829785
4138,99934,0.4765306122448979,0.5045454001913264,0.42684102601063534,0.43375968482129834
4622,161,4.9551020408163255,5.044501953124999,0.558818204159914,0.5588395804942594
4128,2464,0.4765306122448979,0.5187854751275511,0.6874042025697056,0.6914692535931128
